Heracles,Utrecht,24.01.,13:00
PSV,Breda,25.01.,11:45
Groningen,Heerenveen,25.01.,14:00
Sittard,Zwolle,26.01.,05:15
Waalwijk,Willem II,26.01.,07:30
AZ Alkmaar,Sparta Rotterdam,26.01.,09:45
Heracles,Groningen,28.01.,13:00
Breda,Heracles,31.01.,13:00
Zwolle,Utrecht,01.02.,11:45
Heerenveen,Sittard,01.02.,13:00
Nijmegen,PSV,01.02.,14:00
Almere City,Waalwijk,02.02.,05:15
Ajax,Feyenoord,02.02.,07:30
G.A. Eagles,Twente,02.02.,07:30
Sparta Rotterdam,Groningen,02.02.,09:45
Willem II,AZ Alkmaar,02.02.,13:00
Heracles,G.A. Eagles,08.02.,09:30
PSV,Willem II,08.02.,11:45
Groningen,Nijmegen,08.02.,13:00
Feyenoord,Sparta Rotterdam,08.02.,14:00
Utrecht,Almere City,09.02.,05:15
Sittard,Ajax,09.02.,07:30
Waalwijk,Breda,09.02.,07:30
AZ Alkmaar,Zwolle,09.02.,09:45
Heerenveen,Twente,09.02.,09:45
G.A. Eagles,Sparta Rotterdam,14.02.,13:00
PSV,Utrecht,15.02.,09:30
Breda,Feyenoord,15.02.,11:45
Willem II,Groningen,15.02.,14:00
Nijmegen,Almere City,16.02.,05:15
Twente,Waalwijk,16.02.,07:30
Zwolle,Heerenveen,16.02.,07:30
Ajax,Heracles,16.02.,09:45
Feyenoord,Almere City,22.02.,13:00
Twente,Nijmegen,23.02.,05:15
Ajax,G.A. Eagles,23.02.,07:30
AZ Alkmaar,Sittard,23.02.,09:45
Waalwijk,Sittard,28.02.,13:00
Utrecht,Breda,01.03.,09:30
G.A. Eagles,PSV,01.03.,11:45
Groningen,Twente,01.03.,13:00
Feyenoord,Nijmegen,01.03.,14:00
Heerenveen,AZ Alkmaar,02.03.,05:15
Almere City,Ajax,02.03.,07:30
Heracles,Zwolle,02.03.,07:30
Sparta Rotterdam,Willem II,02.03.,09:45
Breda,Sparta Rotterdam,07.03.,13:00
Sittard,Heracles,08.03.,09:30
Feyenoord,Groningen,08.03.,11:45
PSV,Heerenveen,08.03.,14:00
Willem II,Utrecht,09.03.,05:15
Nijmegen,G.A. Eagles,09.03.,07:30
Zwolle,Ajax,09.03.,07:30
AZ Alkmaar,Waalwijk,09.03.,09:45
Twente,Almere City,09.03.,13:00
Almere City,Breda,14.03.,13:00
Utrecht,Nijmegen,15.03.,09:30
Sparta Rotterdam,Zwolle,15.03.,11:45
Waalwijk,PSV,15.03.,13:00
Heerenveen,Heracles,15.03.,14:00
G.A. Eagles,Willem II,16.03.,05:15
Groningen,Sittard,16.03.,07:30
Twente,Feyenoord,16.03.,07:30
Ajax,AZ Alkmaar,16.03.,09:45
Breda,Groningen,29.03.,09:30
Sittard,Sparta Rotterdam,29.03.,11:45
Willem II,Almere City,29.03.,11:45
Nijmegen,AZ Alkmaar,29.03.,14:00
Zwolle,Waalwijk,29.03.,14:00
Utrecht,Heerenveen,30.03.,04:15
Heracles,Twente,30.03.,06:30
PSV,Ajax,30.03.,06:30
Feyenoord,G.A. Eagles,30.03.,08:45
Heerenveen,Willem II,04.04.,12:00
AZ Alkmaar,Feyenoord,05.04.,08:30
Twente,Sittard,05.04.,10:45
Groningen,PSV,05.04.,12:00
Almere City,Zwolle,05.04.,13:00
Waalwijk,Heracles,06.04.,04:15
G.A. Eagles,Utrecht,06.04.,06:30
Sparta Rotterdam,Nijmegen,06.04.,06:30
Ajax,Breda,06.04.,08:45
Nijmegen,Waalwijk,11.04.,12:00
Sittard,Feyenoord,12.04.,08:30
Sparta Rotterdam,Heerenveen,12.04.,10:45
PSV,Almere City,12.04.,12:00
Breda,G.A. Eagles,12.04.,13:00
Utrecht,Groningen,13.04.,04:15
Heracles,AZ Alkmaar,13.04.,06:30
Zwolle,Twente,13.04.,06:30
Willem II,Ajax,13.04.,08:45
Groningen,Heracles,23.04.,12:00
AZ Alkmaar,Breda,24.04.,10:45
Twente,PSV,24.04.,13:00
Waalwijk,Utrecht,25.04.,10:45
Feyenoord,Zwolle,25.04.,13:00
Sittard,Willem II,27.04.,04:15
Ajax,Sparta Rotterdam,27.04.,06:30
Heerenveen,Nijmegen,27.04.,06:30
Almere City,G.A. Eagles,27.04.,08:45
Nijmegen,Willem II,03.05.,08:30
Heracles,Feyenoord,03.05.,10:45
Groningen,Waalwijk,03.05.,12:00
PSV,Sittard,03.05.,13:00
Breda,Zwolle,04.05.,04:15
G.A. Eagles,AZ Alkmaar,04.05.,06:30
Sparta Rotterdam,Twente,04.05.,06:30
Utrecht,Ajax,04.05.,09:00
