St. Truiden,Antwerp,24.01.,13:45
Westerlo,Genk,25.01.,09:00
Charleroi,Círculo Brujas,25.01.,11:15
Club Brujas,Kortrijk,25.01.,13:45
St. Lieja,Dender,26.01.,06:30
Beerschot VA,Royale Union SG,26.01.,09:00
Anderlecht,KV Mechelen,26.01.,11:30
Leuven,Gent,26.01.,12:15
Leuven,KV Mechelen,31.01.,13:45
Charleroi,Dender,01.02.,09:00
Círculo Brujas,St. Lieja,01.02.,11:15
Genk,Beerschot VA,01.02.,13:45
Antwerp,Club Brujas,02.02.,06:30
Royale Union SG,St. Truiden,02.02.,09:00
Gent,Anderlecht,02.02.,11:30
Kortrijk,Westerlo,02.02.,12:15
KV Mechelen,Gent,07.02.,13:45
Club Brujas,Leuven,08.02.,09:00
Dender,St. Truiden,08.02.,11:15
Genk,Círculo Brujas,08.02.,13:45
Anderlecht,Antwerp,09.02.,06:30
Kortrijk,Royale Union SG,09.02.,09:00
Westerlo,St. Lieja,09.02.,11:30
Beerschot VA,Charleroi,09.02.,12:15
St. Lieja,Genk,14.02.,13:45
Leuven,Dender,15.02.,09:00
Antwerp,Kortrijk,15.02.,11:15
St. Truiden,Club Brujas,15.02.,13:45
Gent,Beerschot VA,16.02.,06:30
Royale Union SG,KV Mechelen,16.02.,09:00
Charleroi,Anderlecht,16.02.,11:30
Círculo Brujas,Westerlo,16.02.,12:15
KV Mechelen,St. Truiden,21.02.,13:45
Dender,Beerschot VA,22.02.,09:00
Westerlo,Charleroi,22.02.,11:15
Antwerp,Leuven,22.02.,13:45
Club Brujas,St. Lieja,23.02.,06:30
Genk,Gent,23.02.,09:00
Anderlecht,Royale Union SG,23.02.,11:30
Kortrijk,Círculo Brujas,23.02.,12:15
Charleroi,Genk,28.02.,13:45
Círculo Brujas,Antwerp,01.03.,09:00
St. Truiden,Kortrijk,01.03.,11:15
Royale Union SG,Dender,01.03.,13:45
Gent,Club Brujas,02.03.,06:30
Beerschot VA,KV Mechelen,02.03.,09:00
St. Lieja,Anderlecht,02.03.,11:30
Leuven,Westerlo,02.03.,12:15
St. Truiden,Beerschot VA,07.03.,13:45
Kortrijk,Leuven,08.03.,09:00
Charleroi,KV Mechelen,08.03.,11:15
Dender,Genk,08.03.,13:45
Círculo Brujas,Club Brujas,09.03.,06:30
Westerlo,Anderlecht,09.03.,09:00
Antwerp,Gent,09.03.,11:30
Royale Union SG,St. Lieja,09.03.,12:15
Anderlecht,Círculo Brujas,16.03.,11:30
Beerschot VA,Westerlo,16.03.,11:30
Club Brujas,Charleroi,16.03.,11:30
Genk,Royale Union SG,16.03.,11:30
Gent,Kortrijk,16.03.,11:30
KV Mechelen,Dender,16.03.,11:30
Leuven,St. Truiden,16.03.,11:30
St. Lieja,Antwerp,16.03.,11:30
