Atlético de San Luis,Necaxa,24.01.,19:00
Mazatlán,Toluca,24.01.,21:00
Tijuana,Querétaro,24.01.,21:00
Cruz Azul,Puebla,25.01.,17:00
León,Juárez,25.01.,17:00
Guadalajara,Tigres UANL,25.01.,19:05
Santos Laguna,Club América,25.01.,19:05
Monterrey,Pachuca,25.01.,21:10
Pumas UNAM,Atlas,26.01.,12:00
Club América,Atlético de San Luis,28.01.,19:00
Puebla,Mazatlán,28.01.,19:00
León,Guadalajara,28.01.,21:00
Tigres UANL,Tijuana,28.01.,21:00
Necaxa,Cruz Azul,28.01.,21:05
Atlas,Monterrey,29.01.,19:00
Querétaro,Pachuca,29.01.,19:00
Juárez,Santos Laguna,29.01.,21:00
Pumas UNAM,Toluca,29.01.,21:05
Mazatlán,León,31.01.,19:00
Tijuana,Cruz Azul,31.01.,21:05
Club América,Juárez,01.02.,17:00
Guadalajara,Querétaro,01.02.,17:05
Pachuca,Atlas,01.02.,19:00
Monterrey,Necaxa,01.02.,19:05
Toluca,Tigres UANL,01.02.,21:10
Santos Laguna,Puebla,02.02.,17:00
Atlético de San Luis,Pumas UNAM,02.02.,19:00
Pachuca,León,05.02.,20:00
Querétaro,Atlético de San Luis,07.02.,19:00
Necaxa,Santos Laguna,07.02.,21:00
Puebla,Club América,07.02.,21:00
León,Toluca,08.02.,19:00
Tigres UANL,Atlas,08.02.,19:00
Juárez,Monterrey,08.02.,21:00
Cruz Azul,Pachuca,08.02.,21:05
Pumas UNAM,Mazatlán,09.02.,18:00
Guadalajara,Tijuana,09.02.,20:05
Mazatlán,Santos Laguna,14.02.,20:00
Tijuana,Juárez,14.02.,21:00
Atlas,Puebla,15.02.,17:00
Tigres UANL,Cruz Azul,15.02.,19:00
Club América,Necaxa,15.02.,19:05
Toluca,Guadalajara,15.02.,21:10
Querétaro,Monterrey,16.02.,17:00
Pachuca,Pumas UNAM,16.02.,19:05
Atlético de San Luis,León,16.02.,21:00
Atlas,Necaxa,18.02.,21:00
Club América,León,19.02.,19:00
Santos Laguna,Cruz Azul,19.02.,21:00
Necaxa,Mazatlán,21.02.,19:00
Puebla,Tijuana,21.02.,21:00
León,Tigres UANL,22.02.,19:00
Monterrey,Atlético de San Luis,22.02.,19:00
Guadalajara,Pachuca,22.02.,19:05
Juárez,Toluca,22.02.,21:00
Pumas UNAM,Club América,22.02.,21:05
Santos Laguna,Atlas,23.02.,17:00
Cruz Azul,Querétaro,23.02.,19:05
Tigres UANL,Juárez,25.02.,19:00
Mazatlán,Monterrey,25.02.,21:00
Tijuana,Pumas UNAM,25.02.,21:00
Pachuca,Puebla,26.02.,19:00
Toluca,Querétaro,26.02.,21:00
Atlético de San Luis,Guadalajara,26.02.,21:05
Mazatlán,Cruz Azul,28.02.,21:00
Necaxa,Tigres UANL,01.03.,17:00
León,Tijuana,01.03.,19:00
Club América,Toluca,01.03.,19:05
Juárez,Pachuca,01.03.,21:00
Pumas UNAM,Guadalajara,01.03.,21:10
Querétaro,Puebla,02.03.,16:00
Atlas,Atlético de San Luis,02.03.,18:00
Monterrey,Santos Laguna,02.03.,20:05
Atlético de San Luis,Juárez,07.03.,19:00
Tigres UANL,Querétaro,07.03.,19:00
Puebla,Pumas UNAM,07.03.,21:00
Toluca,Necaxa,08.03.,17:00
Pachuca,Mazatlán,08.03.,19:00
Cruz Azul,Monterrey,08.03.,19:05
Guadalajara,Club América,08.03.,21:05
Santos Laguna,León,09.03.,17:00
Tijuana,Atlas,09.03.,21:00
Necaxa,León,14.03.,19:00
Querétaro,Mazatlán,14.03.,19:00
Puebla,Toluca,14.03.,21:05
Tigres UANL,Santos Laguna,15.03.,17:00
Cruz Azul,Atlético de San Luis,15.03.,19:00
Juárez,Guadalajara,15.03.,21:00
Atlas,Club América,15.03.,21:05
Pumas UNAM,Monterrey,16.03.,18:00
Pachuca,Tijuana,16.03.,20:00
Juárez,Puebla,28.03.,19:00
Necaxa,Querétaro,28.03.,19:00
Mazatlán,Atlas,28.03.,21:00
Toluca,Pachuca,29.03.,17:00
Club América,Tigres UANL,29.03.,19:05
Guadalajara,Cruz Azul,29.03.,21:05
Monterrey,Tijuana,29.03.,21:10
Santos Laguna,Atlético de San Luis,30.03.,17:00
León,Pumas UNAM,30.03.,19:00
Querétaro,León,04.04.,19:00
Tijuana,Necaxa,04.04.,21:00
Puebla,Tigres UANL,04.04.,21:05
Atlas,Juárez,05.04.,17:00
Pachuca,Club América,05.04.,17:00
Monterrey,Guadalajara,05.04.,19:05
Cruz Azul,Pumas UNAM,05.04.,21:10
