Local,Visitante,Fecha,Hora
Inter Miami,New York City,22.02.,13:30
Los Angeles FC,Minnesota United,22.02.,15:30
Atlanta Utd,CF Montreal,22.02.,18:30
Cincinnati,New York Red Bulls,22.02.,18:30
Columbus Crew,Chicago Fire,22.02.,18:30
DC United,Toronto FC,22.02.,18:30
Orlando City,Philadelphia Union,22.02.,18:30
Austin FC,Sporting Kansas City,22.02.,19:30
Houston Dynamo,FC Dallas,22.02.,19:30
Nashville SC,New England Revolution,22.02.,19:30
St. Louis City,Colorado Rapids,22.02.,19:30
San Jose Earthquakes,Real Salt Lake,22.02.,21:30
Seattle Sounders,Charlotte,22.02.,21:30
Portland Timbers,Vancouver Whitecaps,23.02.,15:00
Los Angeles Galaxy,San Diego FC,23.02.,18:00
Charlotte,Atlanta Utd,01.03.,13:00
Real Salt Lake,Seattle Sounders,01.03.,15:30
New England Revolution,Columbus Crew,01.03.,18:30
New York Red Bulls,Nashville SC,01.03.,18:30
Orlando City,Toronto FC,01.03.,18:30
Philadelphia Union,Cincinnati,01.03.,18:30
Chicago Fire,DC United,01.03.,19:30
Minnesota United,CF Montreal,01.03.,19:30
Sporting Kansas City,San Jose Earthquakes,01.03.,19:30
Colorado Rapids,FC Dallas,01.03.,20:30
Los Angeles FC,New York City,01.03.,21:30
Portland Timbers,Austin FC,01.03.,21:30
San Diego FC,St. Louis City,01.03.,21:30
Vancouver Whitecaps,Los Angeles Galaxy,02.03.,16:00
Houston Dynamo,Inter Miami,02.03.,18:00
Columbus Crew,Houston Dynamo,08.03.,13:30
Seattle Sounders,Los Angeles FC,08.03.,15:30
Atlanta Utd,New York Red Bulls,08.03.,18:30
Cincinnati,Toronto FC,08.03.,18:30
DC United,Sporting Kansas City,08.03.,18:30
New England Revolution,Philadelphia Union,08.03.,18:30
New York City,Orlando City,08.03.,18:30
Austin FC,Colorado Rapids,08.03.,19:30
FC Dallas,Chicago Fire,08.03.,19:30
Nashville SC,Portland Timbers,08.03.,19:30
Real Salt Lake,San Diego FC,08.03.,20:30
Vancouver Whitecaps,CF Montreal,08.03.,20:30
San Jose Earthquakes,Minnesota United,08.03.,21:30
Inter Miami,Charlotte,09.03.,15:00
Los Angeles Galaxy,St. Louis City,09.03.,17:00
New York Red Bulls,Orlando City,15.03.,12:30
Toronto FC,Chicago Fire,15.03.,12:30
Los Angeles FC,Austin FC,15.03.,13:30
Charlotte,Cincinnati,15.03.,17:30
DC United,CF Montreal,15.03.,17:30
New York City,New England Revolution,15.03.,17:30
Sporting Kansas City,Minnesota United,15.03.,18:00
FC Dallas,Vancouver Whitecaps,15.03.,18:30
Houston Dynamo,Real Salt Lake,15.03.,18:30
St. Louis City,Seattle Sounders,15.03.,18:30
San Diego FC,Columbus Crew,15.03.,20:30
San Jose Earthquakes,Colorado Rapids,15.03.,20:30
Philadelphia Union,Nashville SC,16.03.,12:00
Portland Timbers,Los Angeles Galaxy,16.03.,14:30
Atlanta Utd,Inter Miami,16.03.,17:00
Cincinnati,Atlanta Utd,22.03.,12:30
Minnesota United,Los Angeles Galaxy,22.03.,14:30
Charlotte,San Jose Earthquakes,22.03.,17:30
Columbus Crew,New York City,22.03.,17:30
New York Red Bulls,Toronto FC,22.03.,17:30
Orlando City,DC United,22.03.,17:30
Philadelphia Union,St. Louis City,22.03.,17:30
Nashville SC,CF Montreal,22.03.,18:30
Sporting Kansas City,Los Angeles FC,22.03.,18:30
Colorado Rapids,Portland Timbers,22.03.,19:30
Real Salt Lake,FC Dallas,22.03.,19:30
Seattle Sounders,Houston Dynamo,22.03.,20:30
Vancouver Whitecaps,Chicago Fire,22.03.,20:30
Austin FC,San Diego FC,23.03.,14:00
New England Revolution,New York Red Bulls,29.03.,12:30
Toronto FC,Vancouver Whitecaps,29.03.,12:30
Colorado Rapids,Charlotte,29.03.,14:30
Atlanta Utd,New York City,29.03.,17:30
DC United,Columbus Crew,29.03.,17:30
Inter Miami,Philadelphia Union,29.03.,17:30
Chicago Fire,CF Montreal,29.03.,18:30
FC Dallas,Sporting Kansas City,29.03.,18:30
Minnesota United,Real Salt Lake,29.03.,18:30
Nashville SC,Cincinnati,29.03.,18:30
Los Angeles Galaxy,Orlando City,29.03.,20:30
San Diego FC,Los Angeles FC,29.03.,20:30
San Jose Earthquakes,Seattle Sounders,29.03.,20:30
St. Louis City,Austin FC,30.03.,12:00
Portland Timbers,Houston Dynamo,30.03.,17:00
Charlotte,Nashville SC,05.04.,12:30
Real Salt Lake,Los Angeles Galaxy,05.04.,14:30
Atlanta Utd,FC Dallas,05.04.,17:30
Austin FC,Portland Timbers,05.04.,17:30
Cincinnati,New England Revolution,05.04.,17:30
Columbus Crew,CF Montreal,05.04.,17:30
New York Red Bulls,Chicago Fire,05.04.,17:30
Philadelphia Union,Orlando City,05.04.,17:30
Houston Dynamo,Los Angeles FC,05.04.,18:30
Sporting Kansas City,St. Louis City,05.04.,18:30
Vancouver Whitecaps,Colorado Rapids,05.04.,19:30
San Diego FC,Seattle Sounders,05.04.,20:30
New York City,Minnesota United,06.04.,15:00
San Jose Earthquakes,DC United,06.04.,15:00
Inter Miami,Toronto FC,06.04.,17:00
