Local,Visitante,Fecha,Hora
Aberdeen,St. Mirren,25.01.,09:00
Celtic,Dundee FC,25.01.,09:00
Hearts,Kilmarnock,25.01.,09:00
Ross County,Hibernian,25.01.,09:00
St. Johnstone,Motherwell,25.01.,09:00
Dundee Utd,Rangers,26.01.,06:00
Dundee FC,Hearts,01.02.,09:00
Hibernian,Aberdeen,01.02.,09:00
St. Mirren,St. Johnstone,01.02.,09:00
Kilmarnock,Dundee Utd,01.02.,11:45
Motherwell,Celtic,02.02.,09:00
Rangers,Ross County,02.02.,09:00
Celtic,Dundee Utd,15.02.,09:00
Dundee FC,Aberdeen,15.02.,09:00
Kilmarnock,St. Johnstone,15.02.,09:00
Motherwell,Ross County,15.02.,09:00
Hearts,Rangers,16.02.,06:00
St. Mirren,Hibernian,16.02.,08:00
Hibernian,Celtic,22.02.,06:30
Aberdeen,Kilmarnock,22.02.,09:00
Dundee Utd,Motherwell,22.02.,09:00
Rangers,St. Mirren,22.02.,09:00
Ross County,Dundee FC,22.02.,09:00
St. Johnstone,Hearts,23.02.,06:00
Celtic,Aberdeen,25.02.,14:00
Dundee Utd,Hibernian,26.02.,13:45
Hearts,St. Mirren,26.02.,13:45
Motherwell,Dundee FC,26.02.,13:45
St. Johnstone,Ross County,26.02.,13:45
Kilmarnock,Rangers,26.02.,14:00
Dundee FC,St. Johnstone,01.03.,09:00
Rangers,Motherwell,01.03.,09:00
Ross County,Kilmarnock,01.03.,09:00
St. Mirren,Celtic,01.03.,11:30
Hibernian,Hearts,02.03.,06:30
Aberdeen,Dundee Utd,02.03.,09:00
Hearts,Ross County,15.03.,09:00
Kilmarnock,Hibernian,15.03.,09:00
Motherwell,St. Mirren,15.03.,09:00
St. Johnstone,Aberdeen,15.03.,09:00
Celtic,Rangers,16.03.,06:30
Dundee Utd,Dundee FC,16.03.,09:00
Aberdeen,Motherwell,29.03.,09:00
Celtic,Hearts,29.03.,09:00
Dundee FC,Rangers,29.03.,09:00
Hibernian,St. Johnstone,29.03.,09:00
Ross County,Dundee Utd,29.03.,09:00
St. Mirren,Kilmarnock,29.03.,09:00
Dundee FC,St. Mirren,05.04.,08:00
Hearts,Dundee Utd,05.04.,08:00
Kilmarnock,Motherwell,05.04.,08:00
Rangers,Hibernian,05.04.,08:00
Ross County,Aberdeen,05.04.,08:00
St. Johnstone,Celtic,05.04.,08:00
Aberdeen,Rangers,12.04.,08:00
Celtic,Kilmarnock,12.04.,08:00
Dundee Utd,St. Johnstone,12.04.,08:00
Hibernian,Dundee FC,12.04.,08:00
Motherwell,Hearts,12.04.,08:00
St. Mirren,Ross County,12.04.,08:00
