Local,Visitante,Fecha,Hora
Balestier Khalsa,Young Lions,25.01.,04:00
Tampines,Hougang,25.01.,04:00
Geylang,Lion City,26.01.,04:00
Tanjong Pagar,DPMM,26.01.,04:00
DPMM,Balestier Khalsa,07.02.,06:15
Lion City,Tanjong Pagar,08.02.,04:00
Young Lions,Tampines,08.02.,04:00
Albirex Niigata (S),Geylang,09.02.,04:00
Tanjong Pagar,Albirex Niigata (S),21.02.,05:45
Hougang,Young Lions,22.02.,04:00
Balestier Khalsa,Lion City,23.02.,04:00
Tampines,DPMM,23.02.,04:00
Lion City,Tampines,26.02.,05:45
DPMM,Hougang,26.02.,06:15
Albirex Niigata (S),Balestier Khalsa,27.02.,05:45
Geylang,Tanjong Pagar,27.02.,05:45
Geylang,Balestier Khalsa,07.03.,06:30
Young Lions,DPMM,08.03.,06:30
Albirex Niigata (S),Tampines,09.03.,06:30
Hougang,Lion City,09.03.,06:30
Tampines,Geylang,04.04.,05:45
Balestier Khalsa,Tanjong Pagar,05.04.,04:00
Hougang,Albirex Niigata (S),05.04.,04:00
Young Lions,Lion City,06.04.,04:00
Geylang,Hougang,11.04.,05:45
Tanjong Pagar,Tampines,12.04.,04:00
Albirex Niigata (S),Young Lions,13.04.,04:00
Lion City,DPMM,13.04.,04:00
Young Lions,Geylang,19.04.,04:00
DPMM,Albirex Niigata (S),19.04.,06:15
Tampines,Balestier Khalsa,20.04.,04:00
Tanjong Pagar,Hougang,20.04.,04:00
Albirex Niigata (S),Lion City,25.04.,05:45
Geylang,DPMM,26.04.,04:00
Tanjong Pagar,Young Lions,26.04.,04:00
Balestier Khalsa,Hougang,27.04.,04:00
Hougang,Tampines,02.05.,05:45
DPMM,Tanjong Pagar,02.05.,06:15
Lion City,Geylang,03.05.,04:00
Young Lions,Balestier Khalsa,03.05.,04:00
Tampines,Young Lions,10.05.,04:00
Tanjong Pagar,Lion City,10.05.,04:00
Balestier Khalsa,DPMM,11.05.,04:00
Geylang,Albirex Niigata (S),11.05.,04:00
Albirex Niigata (S),Tanjong Pagar,16.05.,05:45
Lion City,Balestier Khalsa,17.05.,04:00
DPMM,Tampines,17.05.,06:15
Young Lions,Hougang,18.05.,04:00
Hougang,DPMM,23.05.,05:45
Balestier Khalsa,Albirex Niigata (S),24.05.,04:00
Tampines,Lion City,24.05.,04:00
Tanjong Pagar,Geylang,25.05.,04:00
