Local,Visitante,Fecha,Hora
Samsunspor,Gaziantep,24.01.,11:00
Sivasspor,Kayserispor,25.01.,04:30
Alanyaspor,Başakşehir,25.01.,07:00
Galatasaray,Konyaspor,25.01.,10:00
Rizespor,Adana Demirspor,26.01.,04:30
Antalyaspor,Beşiktaş,26.01.,07:00
Bodrumspor,Eyupspor,26.01.,07:00
Fenerbahçe,Göztepe,26.01.,10:00
Kasimpasa,Hatayspor,27.01.,11:00
Eyupspor,Sivasspor,31.01.,11:00
Konyaspor,Bodrumspor,31.01.,11:00
Hatayspor,Antalyaspor,01.02.,04:30
Kayserispor,Trabzonspor,01.02.,07:00
Başakşehir,Samsunspor,01.02.,10:00
Adana Demirspor,Kasimpasa,02.02.,04:30
Göztepe,Alanyaspor,02.02.,07:00
Fenerbahçe,Rizespor,02.02.,10:00
Gaziantep,Galatasaray,03.02.,11:00
Alanyaspor,Fenerbahçe,09.02.,12:00
Antalyaspor,Başakşehir,09.02.,12:00
Bodrumspor,Göztepe,09.02.,12:00
Galatasaray,Adana Demirspor,09.02.,12:00
Kasimpasa,Rizespor,09.02.,12:00
Kayserispor,Konyaspor,09.02.,12:00
Samsunspor,Hatayspor,09.02.,12:00
Sivasspor,Beşiktaş,09.02.,12:00
Trabzonspor,Eyupspor,09.02.,12:00
Adana Demirspor,Antalyaspor,16.02.,12:00
Başakşehir,Bodrumspor,16.02.,12:00
Beşiktaş,Trabzonspor,16.02.,12:00
Eyupspor,Kayserispor,16.02.,12:00
Fenerbahçe,Kasimpasa,16.02.,12:00
Gaziantep,Sivasspor,16.02.,12:00
Hatayspor,Alanyaspor,16.02.,12:00
Konyaspor,Samsunspor,16.02.,12:00
Rizespor,Galatasaray,16.02.,12:00
Alanyaspor,Adana Demirspor,23.02.,12:00
Antalyaspor,Kasimpasa,23.02.,12:00
Bodrumspor,Hatayspor,23.02.,12:00
Eyupspor,Beşiktaş,23.02.,12:00
Galatasaray,Fenerbahçe,23.02.,12:00
Kayserispor,Göztepe,23.02.,12:00
Samsunspor,Rizespor,23.02.,12:00
Sivasspor,Konyaspor,23.02.,12:00
Trabzonspor,Gaziantep,23.02.,12:00
Adana Demirspor,Bodrumspor,02.03.,12:00
Başakşehir,Sivasspor,02.03.,12:00
Beşiktaş,Kayserispor,02.03.,12:00
Fenerbahçe,Antalyaspor,02.03.,12:00
Gaziantep,Eyupspor,02.03.,12:00
Göztepe,Samsunspor,02.03.,12:00
